,Unnamed: 0,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status,matched
73,73,lin-,ying,lai,lin-ying,,lai,0,0,1,0
74,74,william,p.,yurochko,william,,yurochko,1,0,1,1
75,75,helene,,aiello,helene,sarah,aiello,1,0,1,1
76,76,beryle,crockett,santon,beryle,crockett,santon,1,1,1,1
77,77,,,,,,clemons,0,0,0,0
78,78,ann,marie,hellstern,ann,marie,hellstern,1,1,1,1
79,79,cynthia,a.,arnold,cynthia,ann,arnold,1,0,1,1
80,80,libra,jan cleveland,gysel,libra,cleveland,gysel,1,0,1,1
81,81,juan,p.,arhancet,juan,pedro,arhancet,1,0,1,1
82,82,ha,chul,kim,ha,chul,kim,1,1,1,1
83,83,jorge,luis yordan,hernandez,jorge,luis,yordan hernandez,1,0,0,0
84,84,john,alan,chermak,john,alan,chermak,1,1,1,1
85,85,robert,thomas,arenburg,robert,thomas,arenburg,1,1,1,1
86,86,christine,mae,gruhn,christine,mae,gruhn,1,1,1,1
87,87,gbemiga,a.,ayangbile,gbemiga,adekunmi,ayangbile,1,0,1,1
88,88,david,h.,cohen,david,henry,cohen,1,0,1,1
89,89,linda,e.,morris,linda,ellen,morris,1,0,1,1
90,90,anthony,j.,oliveira,anthony,joseph,oliveira,1,0,1,1
91,91,lillie,mae,anderton,lillie,mae,anderton,1,1,1,1
92,92,k.d.,,bennett,kimberly,dean,bennett,0,0,1,0
93,93,susan,,semanic-lauth,susan,ann,semanic-lauth,1,0,1,1
94,94,chian-yeun,,chang,chian-yeun,,chang,1,0,1,1
95,95,allen,lee,sehn,allen,lee,sehn,1,1,1,1
96,96,zhiqiang,,wang,zhiqiang,,wang,1,0,1,1
97,97,william,john,chism,william,john,chism,1,1,1,1
98,98,thomas,f.,barton,thomas,,barton,1,0,1,1
99,99,joseph,m.,desimone,joseph,mark,desimone,1,0,1,1
